C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-01,LEXINGTON AVE,NQR456,BMT,11/28/2014,23:00:00,REGULAR,0004491957,0007044355                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/22/2014,03:00:00,REGULAR,0004218760,0005792818                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/22/2014,07:00:00,REGULAR,0004218770,0005792870                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/22/2014,11:00:00,REGULAR,0004218873,0005793169                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/22/2014,15:00:00,REGULAR,0004219114,0005793524                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/22/2014,19:00:00,REGULAR,0004219457,0005793881                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/22/2014,23:00:00,REGULAR,0004219715,0005794072                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/23/2014,03:00:00,REGULAR,0004219777,0005794148                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/23/2014,07:00:00,REGULAR,0004219795,0005794188                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/23/2014,11:00:00,REGULAR,0004219855,0005794412                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/23/2014,15:00:00,REGULAR,0004220054,0005794692                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/23/2014,19:00:00,REGULAR,0004220368,0005795007                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/23/2014,23:00:00,REGULAR,0004220581,0005795188                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/24/2014,03:00:00,REGULAR,0004220625,0005795226                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/24/2014,07:00:00,REGULAR,0004220638,0005795370                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/24/2014,11:00:00,REGULAR,0004220850,0005796363                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/24/2014,15:00:00,REGULAR,0004221048,0005796695                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/24/2014,19:00:00,REGULAR,0004221732,0005797183                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/24/2014,23:00:00,REGULAR,0004222050,0005797414                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/25/2014,03:00:00,REGULAR,0004222123,0005797449                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/25/2014,07:00:00,REGULAR,0004222141,0005797603                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/25/2014,08:20:38,REGULAR,0004222196,0005797905                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/25/2014,11:00:00,REGULAR,0004222340,0005798523                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/25/2014,15:00:00,REGULAR,0004222636,0005798881                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/25/2014,19:00:00,REGULAR,0004223389,0005799370                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/25/2014,23:00:00,REGULAR,0004223755,0005799614                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/26/2014,03:00:00,REGULAR,0004223833,0005799655                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/26/2014,07:00:00,REGULAR,0004223849,0005799796                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/26/2014,11:00:00,REGULAR,0004224003,0005800569                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/26/2014,19:00:00,REGULAR,0004224887,0005801416                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/26/2014,23:00:00,REGULAR,0004225124,0005801547                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/27/2014,03:00:00,REGULAR,0004225181,0005801588                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/27/2014,07:00:00,REGULAR,0004225193,0005801612                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/27/2014,11:00:00,REGULAR,0004225267,0005801767                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/27/2014,15:00:00,REGULAR,0004225424,0005801969                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/27/2014,19:00:00,REGULAR,0004225569,0005802102                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/27/2014,23:00:00,REGULAR,0004225669,0005802218                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/28/2014,03:00:00,REGULAR,0004225709,0005802268                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/28/2014,07:00:00,REGULAR,0004225719,0005802351                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/28/2014,11:00:00,REGULAR,0004225796,0005802690                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/28/2014,15:00:00,REGULAR,0004226079,0005802961                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/28/2014,19:00:00,REGULAR,0004226524,0005803278                                     
A002,R051,02-03-02,LEXINGTON AVE,NQR456,BMT,11/28/2014,23:00:00,REGULAR,0004226794,0005803441                                     
A002,R051,02-03-03,LEXINGTON AVE,NQR456,BMT,11/22/2014,03:00:00,REGULAR,0003857443,0004733312                                     
A002,R051,02-03-03,LEXINGTON AVE,NQR456,BMT,11/22/2014,07:00:00,REGULAR,0003857450,0004733356                                     
